Code,Product & Net Content,MRP(Rs.),DP(Rs.),BV,PV,,,,,,,,,,,,,,,,,,,,
BC0012,Baby Spa Soft Cleansing Wipes (80 N),225,205,82,3.04,,,,,,,,,,,,,,,,,,,,
PC2000,Fresh Moments Toothpaste (100g),75,62,31,1.15,,,,,,,,,,,,,,,,,,,,
PC2001,Fresh Moments Toothbrush (3 N),204,174,87,3.22,,,,,,,,,,,,,,,,,,,,
PC2002,Fresh Moments Toothbrush (4 N),176,150,75,2.78,,,,,,,,,,,,,,,,,,,,
PC2004,Fresh Moments Gel Toothpaste (100g),90,75,37.5,1.39,,,,,,,,,,,,,,,,,,,,
PC0035,Fresh Moments Anti-Cavity Toothpaste (100g),48,40,10,0.37,,,,,,,,,,,,,,,,,,,,
PC0036,Fresh Moments Herbal Toothpaste (100g),58,48,12,0.44,,,,,,,,,,,,,,,,,,,,
PC5229,Sofwash White Pearl Soap (4 N x 75g),190,160,80,2.96,,,,,,,,,,,,,,,,,,,,
PC4003,Sofwash Glycerin & Honey Bar (2 N x 100g),170,150,75,2.78,,,,,,,,,,,,,,,,,,,,
PC4011,Sofwash Sandal Soap (100g),33,26,6.5,0.24,,,,,,,,,,,,,,,,,,,,
PC4013,Sofwash Lime Soap (100g),33,26,6.5,0.24,,,,,,,,,,,,,,,,,,,,
PC4014,Sofwash Anti-bacterial Soap (75g),48,40,20,0.74,,,,,,,,,,,,,,,,,,,,
PC4010,Sofwash Aloe Vera; Neem; Tulsi Soap (100g),33,26,6.5,0.24,,,,,,,,,,,,,,,,,,,,
PC4012,Sofwash Orange Soap (100g),33,26,6.5,0.24,,,,,,,,,,,,,,,,,,,,
PC4005,Sofwash 3 IN 1 Hand Wash; Shower Gel & Bubble Bath - Green Apple (250ml),162,142,85.2,3.16,,,,,,,,,,,,,,,,,,,,
PC4001,Sofwash 3 IN 1 Hand Wash; Shower Gel & Bubble Bath - Berry Strawberry (250ml),162,142,85.2,3.16,,,,,,,,,,,,,,,,,,,,
PC4002,Sofwash 3 IN 1 Hand Wash; Shower Gel & Bubble Bath - Citrusy Lime (250ml),162,142,85.2,3.16,,,,,,,,,,,,,,,,,,,,
BC0011,Sofwash Kids 3 IN 1 Hand Wash; Shower Gel & Bubble Bath - Bubble Gum (250ml),275,239,143.4,5.31,,,,,,,,,,,,,,,,,,,,
PC4007,Sofwash 3 IN 1 Hand Wash; Shower Gel & Bubble Bath - Berry Strawberry Refill Pouch (500ml) NEW,260,225,135,5,,,,,,,,,,,,,,,,,,,,
PC4008,Sofwash 3 IN 1 Hand Wash; Shower Gel & Bubble Bath - Green Apple Refill Pouch (500ml) NEW,260,225,135,5,,,,,,,,,,,,,,,,,,,,
PC4009,Sofwash 3 IN 1 Hand Wash; Shower Gel & Bubble Bath - Citrusy Lime Refill Pouch (500ml) NEW,260,225,135,5,,,,,,,,,,,,,,,,,,,,
PC0001,Essensual Hand & Body Lotion (Allantoin & Vitamin E) (200ml),264,219,131.4,4.87,,,,,,,,,,,,,,,,,,,,
PC5243,Essensual Hand & Body Lotion (Allantoin & Vitamin E) (100ml),165,140,84,3.11,,,,,,,,,,,,,,,,,,,,
PC0002,Essensual Hand & Body Lotion (Glycerine & Honey) (200ml),264,219,131.4,4.87,,,,,,,,,,,,,,,,,,,,
PC5242,Essensual Hand & Body Lotion (Glycerine & Honey) (100ml),165,140,84,3.11,,,,,,,,,,,,,,,,,,,,
PC5244,Essensual Soft & Smooth Intensive Foot Care Cream (100ml),225,190,114,4.22,,,,,,,,,,,,,,,,,,,,
PC0004,Essensual Perfumed Deo Spray-Momentum (150ml),190,163,97.8,3.62,,,,,,,,,,,,,,,,,,,,
PC0006,Essensual Perfumed Deo Spray-Ocean Blue (150ml),190,163,97.8,3.62,,,,,,,,,,,,,,,,,,,,
PC0005,Essensual Perfumed Deo Spray-Indulge (150ml),190,163,97.8,3.62,,,,,,,,,,,,,,,,,,,,
PC0007,Essensual Perfumed Deo Spray-Oriental Spice (150ml),190,163,97.8,3.62,,,,,,,,,,,,,,,,,,,,
PC0008,Essensual Hand Sanitizer with Vitamin E (60ml),88,80,48,1.78,,,,,,,,,,,,,,,,,,,,
PC0014,Essensual Hand Sanitizer with Vitamin E (250ml),125,115,11.5,0.43,,,,,,,,,,,,,,,,,,,,
PC0003,Essensual Instante Tea Tree Oil with Vitamin E (15ml),330,275,165,6.11,,,,,,,,,,,,,,,,,,,,
PC0012,Essensual Perfumed Body Talc-Dreams (400g),193,161,96.6,3.58,,,,,,,,,,,,,,,,,,,,
PC0010,Essensual Perfumed Body Talc-Dreams (100g),72,60,36,1.33,,,,,,,,,,,,,,,,,,,,
PC0013,Essensual Perfumed Body Talc-Wild Flower (400g),193,161,96.6,3.58,,,,,,,,,,,,,,,,,,,,
PC0011,Essensual Perfumed Body Talc-Wild Flower (100g),72,60,36,1.33,,,,,,,,,,,,,,,,,,,,
PC9000,Essensual Body Puff - Ultra Soft & Gentle (1 N),88,74,44.4,1.64,,,,,,,,,,,,,,,,,,,,
PC0030,Essensual Pocket Perfume Spice Woods (18ml),80,68,20,0.76,,,,,,,,,,,,,,,,,,,,
PC0031,Essensual Pocket Perfume Wild Girl (18ml),80,68,20,0.76,,,,,,,,,,,,,,,,,,,,
PC0032,Essensual Pocket Perfume Dusky Desire (18ml),80,68,20,0.76,,,,,,,,,,,,,,,,,,,,
PC0029,Essensual Pocket Perfume Romantic Orchid (18ml) NEW,80,68,20,0.76,,,,,,,,,,,,,,,,,,,,
PC5011,Velocity Men Smooth Shave Gel (50g),125,105,57.75,2.14,,,,,,,,,,,,,,,,,,,,
