Code,Product & Net Content,MRP(Rs.),DP(Rs.),BV,PV,,,,,,,,,,,,,,,,,,,,
SC0024,Schloka Moroccan Argan Oil Scrub (60ml),219,183,109.8,4.07,,,,,,,,,,,,,,,,,,,,
SC0028,Schloka Avocado Face Scrub with Oatmeal & Neroli (60ml),280,239,143.4,5.31,,,,,,,,,,,,,,,,,,,,
SC0026,Schloka Glow Face Pack with Orange Peel & White Clay (60ml),224,187,112.2,4.16,,,,,,,,,,,,,,,,,,,,
SC0003,Schloka 3 in 1 Cleanser; Toner and Make Up Remover with Green Tea & Chamomile Extract (200ml),315,270,162,6,,,,,,,,,,,,,,,,,,,,
SC0025,Schloka Hydrating Papaya & Hibiscus Moisturizer (100ml),263,225,135,5,,,,,,,,,,,,,,,,,,,,
SC0009,Schloka Hydra - Nourish Facial Cream With Shea Butter; Almond & Olive Oil (100ml),317,264,158.4,5.87,,,,,,,,,,,,,,,,,,,,
SC0013,Schloka Rejuvenating Day Cream with Almond & Lavender (50ml),265,221,132.6,4.91,,,,,,,,,,,,,,,,,,,,
SC0020,Schloka Sun Screen Cream SPF 30 PA+++ with Gotukola & Cucumber (60ml),265,225,135,5,,,,,,,,,,,,,,,,,,,,
SC0021,Schloka Sun Screen Cream SPF 50 PA+++ with Vitamin E & Comfrey (60ml),325,271,162.6,6.02,,,,,,,,,,,,,,,,,,,,
SC0004,Schloka Anti Ageing Night Cream with Collagen and Vitamin E (50ml),255,219,131.4,4.87,,,,,,,,,,,,,,,,,,,,
SC0017,Schloka Whitening Cream with Lemon and Turmeric (50ml),270,225,135,5,,,,,,,,,,,,,,,,,,,,
SC0027,Schloka Under Eye Cream with Ashwagandha & Gotukola (20ml),164,136,81.6,3.02,,,,,,,,,,,,,,,,,,,,
SC0008,Schloka Fairness Cream with Rose & Honey (50ml),260,217,130.2,4.82,,,,,,,,,,,,,,,,,,,,
SC0006,Schloka Body Butter with Shea Butter and Almond Oil (100ml),320,267,160.2,5.93,,,,,,,,,,,,,,,,,,,,
SC3021,Schloka Purifying Lime Peel & Neem Face Wash (Men) 60ml,198,165,99,3.67,,,,,,,,,,,,,,,,,,,,
PC1001,FOTE Cleansing Gel with Apricot & Tea Tree Oil (Ph Balanced) 150ml,347,289,173.4,6.42,,,,,,,,,,,,,,,,,,,,
PC1003,FOTE Fairness Gel with Liquorice & Aloe Vera (SPF14) 150ml,316,264,158.4,5.87,,,,,,,,,,,,,,,,,,,,
PC1004,FOTE Face Pack with Neem & Rosemary (Sensitive & Acne Prone Skin) 150ml,365,304,182.4,6.76,,,,,,,,,,,,,,,,,,,,
PC5262,FOTE Cleansing Gel with Apricot & Tea Tree Oil (Ph Balanced) 100ml,275,230,115,4.26,,,,,,,,,,,,,,,,,,,,
PC5260,FOTE Fairness Gel with Liquorice & Aloe Vera (SPF14) 100ml,250,210,105,3.89,,,,,,,,,,,,,,,,,,,,
PC5261,FOTE Face Pack with Neem & Rosemary (Sensitive & Acne Prone Skin) 100ml,270,225,112.5,4.17,,,,,,,,,,,,,,,,,,,,
PC5224,Fruit of the Earth Moor Mud Facial Bar (4 N x 25g),325,271,135.5,5.02,,,,,,,,,,,,,,,,,,,,
PC5271,Fruit of the Earth Moor Mud Mask (100g),500,417,250.2,9.27,,,,,,,,,,,,,,,,,,,,
PC1017,FOTE Red Obsession - Hydra Nourish Cream (50g),399,347,173.5,6.43,,,,,,,,,,,,,,,,,,,,
PC1018,FOTE Red Obsession - Hydra Nourish Scrub (50g),399,347,173.5,6.43,,,,,,,,,,,,,,,,,,,,
PC1019,FOTE Red Obsession - Hydra Nourish Mask (50g),399,347,173.5,6.43,,,,,,,,,,,,,,,,,,,,
UC1209,Exotic Wine (4 g),695,579,347.4,12.87,,,,,,,,,,,,,,,,,,,,
UC1210,Devine Plum (4 g),695,579,347.4,12.87,,,,,,,,,,,,,,,,,,,,
UC1211,Rose Nude (4 g),695,579,347.4,12.87,,,,,,,,,,,,,,,,,,,,
UC1212,Nude Thrill (4 g),695,579,347.4,12.87,,,,,,,,,,,,,,,,,,,,
UC1601,Exotic Tangerine 01 (1.4g),730,610,366,13.56,,,,,,,,,,,,,,,,,,,,
UC1602,Scarlet 02 (1.4g),730,610,366,13.56,,,,,,,,,,,,,,,,,,,,
UC1603,Red Siren 03 (1.4g),730,610,366,13.56,,,,,,,,,,,,,,,,,,,,
UC1604,Burgundy 04 (1.4g),730,610,366,13.56,,,,,,,,,,,,,,,,,,,,
UC1605,Nude Petal 05 (1.4g),730,610,366,13.56,,,,,,,,,,,,,,,,,,,,
UC1606,Dusty Rose 06 (1.4g),730,610,366,13.56,,,,,,,,,,,,,,,,,,,,
UC1607,Rosematic 07 (1.4g),730,610,366,13.56,,,,,,,,,,,,,,,,,,,,
UC1608,Rich Berry 08 (1.4g),730,610,366,13.56,,,,,,,,,,,,,,,,,,,,
UC1609,Bombshell Pink 09 (1.4g),730,610,366,13.56,,,,,,,,,,,,,,,,,,,,
UC1610,Latte 10 (1.4g),730,610,366,13.56,,,,,,,,,,,,,,,,,,,,
UC1611,Terracotta 11 (1.4g),730,610,366,13.56,,,,,,,,,,,,,,,,,,,,
UC1612,Moody Brown 12 (1.4g),730,610,366,13.56,,,,,,,,,,,,,,,,,,,,
UCL001,Strawberry (4.5g),199,173,103.83,3.85,,,,,,,,,,,,,,,,,,,,
UCL002,Orange (4.5g),199,173,103.83,3.85,,,,,,,,,,,,,,,,,,,,
UCL003,Cherry (4.5g),199,173,103.83,3.85,,,,,,,,,,,,,,,,,,,,
UC4401,Red Rage (9 ml),215,179,107.4,3.98,,,,,,,,,,,,,,,,,,,,
UC4402,Riot (9 ml),215,179,107.4,3.98,,,,,,,,,,,,,,,,,,,,
UC4403,Parfait Pink (9 ml),215,179,107.4,3.98,,,,,,,,,,,,,,,,,,,,
UC4404,Blushing (9 ml),215,179,107.4,3.98,,,,,,,,,,,,,,,,,,,,
UC4405,Diva Pink (9 ml),215,179,107.4,3.98,,,,,,,,,,,,,,,,,,,,
UC4406,Cherry Ice (9 ml),215,179,107.4,3.98,,,,,,,,,,,,,,,,,,,,
UC4407,Marooned (9 ml),215,179,107.4,3.98,,,,,,,,,,,,,,,,,,,,
UC4408,Rouge Glam (9 ml),215,179,107.4,3.98,,,,,,,,,,,,,,,,,,,,
UC4409,Rose Pink (9 ml),215,179,107.4,3.98,,,,,,,,,,,,,,,,,,,,
UC4410,Truly Orange (9 ml),215,179,107.4,3.98,,,,,,,,,,,,,,,,,,,,
UC4411,Brick (9 ml),215,179,107.4,3.98,,,,,,,,,,,,,,,,,,,,
UC4412,Lilac (9 ml),215,179,107.4,3.98,,,,,,,,,,,,,,,,,,,,
UC4413,Nude (9 ml),215,179,107.4,3.98,,,,,,,,,,,,,,,,,,,,
UC4414,Taupe (9 ml),215,179,107.4,3.98,,,,,,,,,,,,,,,,,,,,
UC4415,Caramel (9 ml),215,179,107.4,3.98,,,,,,,,,,,,,,,,,,,,
UC4416,Mocha (9 ml),215,179,107.4,3.98,,,,,,,,,,,,,,,,,,,,
UC4417,Envy (9 ml),215,179,107.4,3.98,,,,,,,,,,,,,,,,,,,,
UC4420,Clear Top Coat (9 ml),215,179,107.4,3.98,,,,,,,,,,,,,,,,,,,,
UC4421,Gold Glitz (9 ml),215,179,107.4,3.98,,,,,,,,,,,,,,,,,,,,
UC4422,Rose Glitz (9 ml),215,179,107.4,3.98,,,,,,,,,,,,,,,,,,,,
UC4423,Sunset Glitz (9 ml),215,179,107.4,3.98,,,,,,,,,,,,,,,,,,,,
UC4424,Silver Glitz (9 ml),215,179,107.4,3.98,,,,,,,,,,,,,,,,,,,,
UC4425,Frozen Rose (9 ml),215,179,107.4,3.98,,,,,,,,,,,,,,,,,,,,
UC4426,Black Magic (9 ml),215,179,107.4,3.98,,,,,,,,,,,,,,,,,,,,
UC4427,Peach Rose (9 ml),215,179,107.4,3.98,,,,,,,,,,,,,,,,,,,,
UC4428,Trendy Peach (9 ml),215,179,107.4,3.98,,,,,,,,,,,,,,,,,,,,
UC4433,Amethyst Blue (9 ml),215,179,107.4,3.98,,,,,,,,,,,,,,,,,,,,
UC4435,Peach Vibe (9 ml),215,179,107.4,3.98,,,,,,,,,,,,,,,,,,,,
UC4440,Sangria (9 ml),215,179,107.4,3.98,,,,,,,,,,,,,,,,,,,,
UC4441,Forest Berry (9 ml),215,179,107.4,3.98,,,,,,,,,,,,,,,,,,,,
UC4442,Pink Lady (9 ml),215,179,107.4,3.98,,,,,,,,,,,,,,,,,,,,
UC4445,Hot Pink (9 ml),215,179,107.4,3.98,,,,,,,,,,,,,,,,,,,,
UC4449,Lime Green (9 ml),215,179,107.4,3.98,,,,,,,,,,,,,,,,,,,,
UCL301,Oh So Red (6 ml),135,112,67.5,2.5,,,,,,,,,,,,,,,,,,,,
UCL302,Born Red (6 ml),135,112,67.5,2.5,,,,,,,,,,,,,,,,,,,,
UCL303,Heartbeat (6 ml),135,112,67.5,2.5,,,,,,,,,,,,,,,,,,,,
UCL304,Lilies (6 ml),135,112,67.5,2.5,,,,,,,,,,,,,,,,,,,,
UCL305,Romance (6 ml),135,112,67.5,2.5,,,,,,,,,,,,,,,,,,,,
UCL306,Pink It! (6 ml),135,112,67.5,2.5,,,,,,,,,,,,,,,,,,,,
UCL307,Pink Cheeks (6 ml),135,112,67.5,2.5,,,,,,,,,,,,,,,,,,,,
UCL308,Kissable (6 ml),135,112,67.5,2.5,,,,,,,,,,,,,,,,,,,,
UCL309,Lilac Bloom (6 ml),135,112,67.5,2.5,,,,,,,,,,,,,,,,,,,,
UCL310,Flamingo (6 ml),135,112,67.5,2.5,,,,,,,,,,,,,,,,,,,,
UCL311,Sunshine (6 ml),135,112,67.5,2.5,,,,,,,,,,,,,,,,,,,,
UCL312,Last Kiss (6 ml),135,112,67.5,2.5,,,,,,,,,,,,,,,,,,,,
UCL313,Pucker Up (6 ml),135,112,67.5,2.5,,,,,,,,,,,,,,,,,,,,
UCL314,Bare Dare (6 ml),135,112,67.5,2.5,,,,,,,,,,,,,,,,,,,,
UCL315,Mysterious (6 ml),135,112,67.5,2.5,,,,,,,,,,,,,,,,,,,,
UCL316,Deep Blue (6 ml),135,112,67.5,2.5,,,,,,,,,,,,,,,,,,,,
UCL317,Teal Steal (6 ml),135,112,67.5,2.5,,,,,,,,,,,,,,,,,,,,
UCL318,Pink Gleam (6 ml),135,112,67.5,2.5,,,,,,,,,,,,,,,,,,,,
UCL319,Diva (6 ml),135,112,67.5,2.5,,,,,,,,,,,,,,,,,,,,
UCL320,Treasure Me (6 ml),135,112,67.5,2.5,,,,,,,,,,,,,,,,,,,,
UC2201,Rose (6 ml),155,130,78,2.88,,,,,,,,,,,,,,,,,,,,
UC2202,Shell (6 ml),155,130,78,2.88,,,,,,,,,,,,,,,,,,,,
UC2203,Tropix (6 ml),155,130,78,2.88,,,,,,,,,,,,,,,,,,,,
UC2204,Candy Crush (6 ml),155,130,78,2.88,,,,,,,,,,,,,,,,,,,,
UC2205,Pink Patrol (6 ml),155,130,78,2.88,,,,,,,,,,,,,,,,,,,,
UC2206,Deep Fuchsia (6 ml),155,130,78,2.88,,,,,,,,,,,,,,,,,,,,
UC2207,Cherry Charm (6 ml),155,130,78,2.88,,,,,,,,,,,,,,,,,,,,
UC2208,Peach Silk (6 ml),155,130,78,2.88,,,,,,,,,,,,,,,,,,,,
UC2209,Maple (6 ml),155,130,78,2.88,,,,,,,,,,,,,,,,,,,,
UC2210,Cinnamon (6 ml),155,130,78,2.88,,,,,,,,,,,,,,,,,,,,
UC2211,Wild Fire Red (6 ml),155,130,78,2.88,,,,,,,,,,,,,,,,,,,,
UC2212,Scarlet Boon (6 ml),155,130,78,2.88,,,,,,,,,,,,,,,,,,,,
UC1001,Magic Red (4.2 g),495,413,247.8,9.18,,,,,,,,,,,,,,,,,,,,
UC1002,Garnet (4.2 g),495,413,247.8,9.18,,,,,,,,,,,,,,,,,,,,
UC1003,Orange Fever (4.2 g),495,413,247.8,9.18,,,,,,,,,,,,,,,,,,,,
UC1004,Pouty Pink (4.2 g),495,413,247.8,9.18,,,,,,,,,,,,,,,,,,,,
UC1005,Pink Rose (4.2 g),495,413,247.8,9.18,,,,,,,,,,,,,,,,,,,,
UC1006,Kiss Me (4.2 g),495,413,247.8,9.18,,,,,,,,,,,,,,,,,,,,
UC1007,Charming Pink (4.2 g),495,413,247.8,9.18,,,,,,,,,,,,,,,,,,,,
UC1008,Berry Crush (4.2 g),495,413,247.8,9.18,,,,,,,,,,,,,,,,,,,,
UC1009,Purple Love (4.2 g),495,413,247.8,9.18,,,,,,,,,,,,,,,,,,,,
UC1010,Maroon Magic (4.2 g),495,413,247.8,9.18,,,,,,,,,,,,,,,,,,,,
UC1016,Vibrant Pink (4.2 g),495,413,247.8,9.18,,,,,,,,,,,,,,,,,,,,
UC1019,Smoke Red (4.2 g),495,413,247.8,9.18,,,,,,,,,,,,,,,,,,,,
UC1501,Dreamed (4.2 g),495,413,247.8,9.18,,,,,,,,,,,,,,,,,,,,
UC1502,Deepwine (4.2 g),495,413,247.8,9.18,,,,,,,,,,,,,,,,,,,,
UC1503,Dreamy Pink (4.2 g),495,413,247.8,9.18,,,,,,,,,,,,,,,,,,,,
UC1504,Kissable (4.2 g),495,413,247.8,9.18,,,,,,,,,,,,,,,,,,,,
UC1505,Crushed Rose (4.2 g),495,413,247.8,9.18,,,,,,,,,,,,,,,,,,,,
UC1506,Cupid (4.2 g),495,413,247.8,9.18,,,,,,,,,,,,,,,,,,,,
UC1507,Pink Bouquet (4.2 g),495,413,247.8,9.18,,,,,,,,,,,,,,,,,,,,
UC1508,Peach Passion (4.2 g),495,413,247.8,9.18,,,,,,,,,,,,,,,,,,,,
UC1509,Forever Love (4.2 g),495,413,247.8,9.18,,,,,,,,,,,,,,,,,,,,
UC1510,Hot Fushia (4.2 g),495,413,247.8,9.18,,,,,,,,,,,,,,,,,,,,
UC1511,Orange Blaze (4.2 g),495,413,247.8,9.18,,,,,,,,,,,,,,,,,,,,
UC1512,Coffee Twist (4.2 g),495,413,247.8,9.18,,,,,,,,,,,,,,,,,,,,
UC1513,Red Sizzle (4.2 g),495,413,247.8,9.18,,,,,,,,,,,,,,,,,,,,
UC1514,Mauve Berry (4.2 g),495,413,247.8,9.18,,,,,,,,,,,,,,,,,,,,
UC1515,Pink Fantasy (4.2 g),495,413,247.8,9.18,,,,,,,,,,,,,,,,,,,,
UC1516,Deep Red (4.2 g),495,413,247.8,9.18,,,,,,,,,,,,,,,,,,,,
UC1517,Molten Coral (4.2 g),495,413,247.8,9.18,,,,,,,,,,,,,,,,,,,,
UC1518,Pink Cocoa (4.2 g),495,413,247.8,9.18,,,,,,,,,,,,,,,,,,,,
UC1519,Brown Magic (4.2 g),495,413,247.8,9.18,,,,,,,,,,,,,,,,,,,,
UC1520,Orange Rum (4.2 g),495,413,247.8,9.18,,,,,,,,,,,,,,,,,,,,
UC1521,Burnt Orange (4.2 g),495,413,247.8,9.18,,,,,,,,,,,,,,,,,,,,
UC1522,Peach Love (4.2 g),495,413,247.8,9.18,,,,,,,,,,,,,,,,,,,,
UC1523,Soft Rose (4.2 g),495,413,247.8,9.18,,,,,,,,,,,,,,,,,,,,
UC1524,Brown Sugar (4.2 g),495,413,247.8,9.18,,,,,,,,,,,,,,,,,,,,
UCL101,Rosewood (4.2 g),359,299,179.5,6.65,,,,,,,,,,,,,,,,,,,,
UCL102,Punch (4.2 g),359,299,179.5,6.65,,,,,,,,,,,,,,,,,,,,
UCL103,French Rose (4.2 g),359,299,179.5,6.65,,,,,,,,,,,,,,,,,,,,
UCL104,Bubblegum (4.2 g),359,299,179.5,6.65,,,,,,,,,,,,,,,,,,,,
UCL105,Salmon (4.2 g),359,299,179.5,6.65,,,,,,,,,,,,,,,,,,,,
UCL106,Cerise (4.2 g),359,299,179.5,6.65,,,,,,,,,,,,,,,,,,,,
UCL107,Hibiscus (4.2 g),359,299,179.5,6.65,,,,,,,,,,,,,,,,,,,,
UCL108,Amber (4.2 g),359,299,179.5,6.65,,,,,,,,,,,,,,,,,,,,
UCL109,Raspberry (4.2 g),359,299,179.5,6.65,,,,,,,,,,,,,,,,,,,,
UCL110,Imperial (4.2 g),359,299,179.5,6.65,,,,,,,,,,,,,,,,,,,,
UCL111,Pure Red (4.2 g),359,299,179.5,6.65,,,,,,,,,,,,,,,,,,,,
UCL112,Barn Red (4.2 g),359,299,179.5,6.65,,,,,,,,,,,,,,,,,,,,
UCL113,Alabama (4.2 g),359,299,179.5,6.65,,,,,,,,,,,,,,,,,,,,
UCL114,Suedeberry (4.2 g),359,299,179.5,6.65,,,,,,,,,,,,,,,,,,,,
UCL115,Magnetic (4.2 g),359,299,179.5,6.65,,,,,,,,,,,,,,,,,,,,
UCL116,Guava Jelly (4.2 g),359,299,179.5,6.65,,,,,,,,,,,,,,,,,,,,
UCL117,Ballerina (4.2 g),359,299,179.5,6.65,,,,,,,,,,,,,,,,,,,,
UCL118,Chestnut (4.2 g),359,299,179.5,6.65,,,,,,,,,,,,,,,,,,,,
UCL119,Almond Joy (4.2 g),359,299,179.5,6.65,,,,,,,,,,,,,,,,,,,,
UCL120,Sand Storm (4.2 g),359,299,179.5,6.65,,,,,,,,,,,,,,,,,,,,
UCL121,Gingerbread (4.2 g),359,299,179.5,6.65,,,,,,,,,,,,,,,,,,,,
UCL122,Plum (4.2 g),359,299,179.5,6.65,,,,,,,,,,,,,,,,,,,,
UCL123,Wine Me (4.2 g),359,299,179.5,6.65,,,,,,,,,,,,,,,,,,,,
UCL124,Vamp It Up (4.2 g),359,299,179.5,6.65,,,,,,,,,,,,,,,,,,,,
UC1201,Coral Rush (4 g),695,579,347.4,12.87,,,,,,,,,,,,,,,,,,,,
UC1202,Rouge (4 g),695,579,347.4,12.87,,,,,,,,,,,,,,,,,,,,
UC1203,Power Red (4 g),695,579,347.4,12.87,,,,,,,,,,,,,,,,,,,,
UC1204,Sepia Brown (4 g),695,579,347.4,12.87,,,,,,,,,,,,,,,,,,,,
UC1205,Bronze (4 g),695,579,347.4,12.87,,,,,,,,,,,,,,,,,,,,
UC1206,Cocoalicious (4 g),695,579,347.4,12.87,,,,,,,,,,,,,,,,,,,,
UC1207,Pink Velvet (4 g),695,579,347.4,12.87,,,,,,,,,,,,,,,,,,,,
UC1208,Orchid (4 g),695,579,347.4,12.87,,,,,,,,,,,,,,,,,,,,
UC2213,Hot Chilli (6 ml),155,130,78,2.88,,,,,,,,,,,,,,,,,,,,
UC2214,Sugared Spice (6 ml),155,130,78,2.88,,,,,,,,,,,,,,,,,,,,
UC2215,Mahogany (6 ml),155,130,78,2.88,,,,,,,,,,,,,,,,,,,,
UC2216,Blue Rapture (6 ml),155,130,78,2.88,,,,,,,,,,,,,,,,,,,,
UC2217,Midnight Star (6 ml),155,130,78,2.88,,,,,,,,,,,,,,,,,,,,
UC2218,Aqua Gray (6 ml),155,130,78,2.88,,,,,,,,,,,,,,,,,,,,
UC2219,Olives (6 ml),155,130,78,2.88,,,,,,,,,,,,,,,,,,,,
UC2220,Magic Mauve (6 ml),155,130,78,2.88,,,,,,,,,,,,,,,,,,,,
UC2221,Merry Berry (6 ml),155,130,78,2.88,,,,,,,,,,,,,,,,,,,,
UCL401,Party Pink (6 ml),140,120,72.41,2.68,,,,,,,,,,,,,,,,,,,,
UCL402,Victorian Rose (6 ml),140,120,72.41,2.68,,,,,,,,,,,,,,,,,,,,
UCL403,Berry Drop (6 ml),140,120,72.41,2.68,,,,,,,,,,,,,,,,,,,,
UCL404,Morroccan Rouge (6 ml),140,120,72.41,2.68,,,,,,,,,,,,,,,,,,,,
UCL405,Candy Cane (6 ml),140,120,72.41,2.68,,,,,,,,,,,,,,,,,,,,
UCL406,Wild Pink (6 ml),140,120,72.41,2.68,,,,,,,,,,,,,,,,,,,,
UCL407,Coral Sunset (6 ml),140,120,72.41,2.68,,,,,,,,,,,,,,,,,,,,
UCL408,Coral Haze (6 ml),140,120,72.41,2.68,,,,,,,,,,,,,,,,,,,,
UCL409,Peach Punch (6 ml),140,120,72.41,2.68,,,,,,,,,,,,,,,,,,,,
UCL410,Royal Ruby (6 ml),140,120,72.41,2.68,,,,,,,,,,,,,,,,,,,,
UCL411,Red Mars (6 ml),140,120,72.41,2.68,,,,,,,,,,,,,,,,,,,,
UCL412,Fiery Red (6 ml),140,120,72.41,2.68,,,,,,,,,,,,,,,,,,,,
UCL413,Rhubarb Red (6 ml),140,120,72.41,2.68,,,,,,,,,,,,,,,,,,,,
UCL414,Espresso (6 ml),140,120,72.41,2.68,,,,,,,,,,,,,,,,,,,,
UCL415,Hazelnut (6 ml),140,120,72.41,2.68,,,,,,,,,,,,,,,,,,,,
UCL416,Wild Orchid (6 ml),140,120,72.41,2.68,,,,,,,,,,,,,,,,,,,,
UCL417,Boysenberry (6 ml),140,120,72.41,2.68,,,,,,,,,,,,,,,,,,,,
UCL418,Smoke (6 ml),140,120,72.41,2.68,,,,,,,,,,,,,,,,,,,,
UCL419,Tide Pool (6 ml),140,120,72.41,2.68,,,,,,,,,,,,,,,,,,,,
UCL420,Ice (6 ml),140,120,72.41,2.68,,,,,,,,,,,,,,,,,,,,
UCL421,Jet Black (6 ml),140,120,72.41,2.68,,,,,,,,,,,,,,,,,,,,
UCL422,Seashell Pink (6 ml),140,120,72.41,2.68,,,,,,,,,,,,,,,,,,,,
UCL423,Lavender (6 ml),140,120,72.41,2.68,,,,,,,,,,,,,,,,,,,,
UCL424,Minty (6 ml),140,120,72.41,2.68,,,,,,,,,,,,,,,,,,,,
UCL425,Sea Green (6 ml),140,120,72.41,2.68,,,,,,,,,,,,,,,,,,,,
UCL426,Baby Blue (6 ml),140,120,72.41,2.68,,,,,,,,,,,,,,,,,,,,
UC3999,Nail Enamel Remover (110 ml),198,165,99,3.67,,,,,,,,,,,,,,,,,,,,
UC8888,Radiance Primer (30 ml),600,500,300,11.11,,,,,,,,,,,,,,,,,,,,
UC4001,Ivory (9 g),840,700,420,15.56,,,,,,,,,,,,,,,,,,,,
UC4002,Beige (9 g),840,700,420,15.56,,,,,,,,,,,,,,,,,,,,
UC4003,Porcelain (9 g),840,700,420,15.56,,,,,,,,,,,,,,,,,,,,
UC4004,Honey (9 g),840,700,420,15.56,,,,,,,,,,,,,,,,,,,,
UC4301,Classic Ivory (30 ml),550,458,274.8,10.18,,,,,,,,,,,,,,,,,,,,
UC4302,Natural (30 ml),550,458,274.8,10.18,,,,,,,,,,,,,,,,,,,,
UC4303,Nude Beige (30 ml),550,458,274.8,10.18,,,,,,,,,,,,,,,,,,,,
UC4304,Honey Beige (30 ml),550,458,274.8,10.18,,,,,,,,,,,,,,,,,,,,
UC4201,Ivory (9 g),750,625,375,13.89,,,,,,,,,,,,,,,,,,,,
UC4202,Natural (9 g),750,625,375,13.89,,,,,,,,,,,,,,,,,,,,
UC4203,Soft Beige (9 g),750,625,375,13.89,,,,,,,,,,,,,,,,,,,,
UC4101,Fresh Coral (4 g),540,440,264,9.78,,,,,,,,,,,,,,,,,,,,
UC4102,Rose Light (4 g),540,440,264,9.78,,,,,,,,,,,,,,,,,,,,
UC4103,Sheer Glow (4 g),540,440,264,9.78,,,,,,,,,,,,,,,,,,,,
UC4600,Fair (30 g),495,413,247.8,9.18,,,,,,,,,,,,,,,,,,,,
UC4601,Creme Light (30 g),495,413,247.8,9.18,,,,,,,,,,,,,,,,,,,,
UC4602,Warm (30 g),495,413,247.8,9.18,,,,,,,,,,,,,,,,,,,,
UC4701,White Ice (9 g),425,354,212.4,7.87,,,,,,,,,,,,,,,,,,,,
UC4702,Light Bisque (9 g),425,354,212.4,7.87,,,,,,,,,,,,,,,,,,,,
UC4703,Natural Finish (9 g),425,354,212.4,7.87,,,,,,,,,,,,,,,,,,,,
UC4305,Ivory Light 01 (25 ml),1199,999,599.4,22.2,,,,,,,,,,,,,,,,,,,,
UC4306,Beige Light 02 (25 ml),1199,999,599.4,22.2,,,,,,,,,,,,,,,,,,,,
UC4307,Soft Shell 03 (25 ml),1199,999,599.4,22.2,,,,,,,,,,,,,,,,,,,,
UC9017,Pro Wear Brow Pencil (1.08 g),600,520,312,11.56,,,,,,,,,,,,,,,,,,,,
UC9018,Pro Micellar Bi-Phase Makeup Cleanser (150ml),499,434,260.4,9.64,,,,,,,,,,,,,,,,,,,,
UC9019,Instant Radiance Illuminating Lotion (30ml),1399,1216,729.6,27.02,,,,,,,,,,,,,,,,,,,,
UC4204,Ivory Light 01 (9 g),899,782,469.2,17.38,,,,,,,,,,,,,,,,,,,,
UC4205,Beige Light 02 (9 g),899,782,469.2,17.38,,,,,,,,,,,,,,,,,,,,
UC4206,Soft Shell 03 (9 g),899,782,469.2,17.38,,,,,,,,,,,,,,,,,,,,
UC4801,30 N wipes,255,213,127.8,4.73,,,,,,,,,,,,,,,,,,,,
UC9000,Blackest Black (0.35 g),360,300,180,6.67,,,,,,,,,,,,,,,,,,,,
UC9999,Black (9 ml),595,496,297.6,11.02,,,,,,,,,,,,,,,,,,,,
UC7001,Daring Smokey (8 g),1400,1167,700.2,25.93,,,,,,,,,,,,,,,,,,,,
UC7002,Everlasting Fun (8 g),1400,1167,700.2,25.93,,,,,,,,,,,,,,,,,,,,
0001ML,Super Black (2.5 ml),700,593,355.8,13.18,,,,,,,,,,,,,,,,,,,,
0002ML,Super Blue (2.5 ml) - TILL STOCKS LAST,700,593,355.8,13.18,,,,,,,,,,,,,,,,,,,,
UC9013,Jet Black 001 (1 ml),630,525,315,11.67,,,,,,,,,,,,,,,,,,,,
UC9014,Starry Night Blue 002 (1 ml) - TILL STOCKS LAST,630,525,315,11.67,,,,,,,,,,,,,,,,,,,,
UC9015,Deep Brown 003 (1 ml) - TILL STOCKS LAST,630,525,315,11.67,,,,,,,,,,,,,,,,,,,,
UC9001,Deep Black 001 (1.2g),535,445,267,9.89,,,,,,,,,,,,,,,,,,,,
UC9002,Aqua Black 002 (1.2g),535,445,267,9.89,,,,,,,,,,,,,,,,,,,,
UC9003,Royal Blue 003 (1.2g),535,445,267,9.89,,,,,,,,,,,,,,,,,,,,
UC9004,Cobalt Blue 004 (1.2g),535,445,267,9.89,,,,,,,,,,,,,,,,,,,,
UC9005,Gypsy Teal 005 (1.2g),535,445,267,9.89,,,,,,,,,,,,,,,,,,,,
UC9006,Go Green 006 (1.2g),535,445,267,9.89,,,,,,,,,,,,,,,,,,,,
UC9007,Brownie 007 (1.2g),535,445,267,9.89,,,,,,,,,,,,,,,,,,,,
UC9008,Copper 008 (1.2g) - TILL STOCKS LAST,535,445,267,9.89,,,,,,,,,,,,,,,,,,,,
UC9009,Silver Shine 009 (1.2g),535,445,267,9.89,,,,,,,,,,,,,,,,,,,,
UC9010,Goldmine 010 (1.2g),535,445,267,9.89,,,,,,,,,,,,,,,,,,,,
UC9011,Slate Grey 011 (1.2g),535,445,267,9.89,,,,,,,,,,,,,,,,,,,,
UC9012,Deep Purple 012 (1.2g),535,445,267,9.89,,,,,,,,,,,,,,,,,,,,
UC5001,Perfect Matte Lipstick 10 in 1 Sampler Set of Corals; Reds & Browns (10 N x 0.6g),299,249,49.8,1.84,,,,,,,,,,,,,,,,,,,,
UC5002,Perfect Matte Lipstick 10 in 1 Sampler Set of Pinks; Mauves & Berries (10 N x 0.6g),299,249,49.8,1.84,,,,,,,,,,,,,,,,,,,,
UC5003,Crème Glam Lipstick 10 in 1 Sampler Set of Corals; Reds & Browns (10 N x 0.6g),299,249,49.8,1.84,,,,,,,,,,,,,,,,,,,,
UC5004,Crème Glam Lipstick 10 in 1 Sampler Set of Pinks; Mauves & Berries (10 N x 0.6g),299,249,49.8,1.84,,,,,,,,,,,,,,,,,,,,
